"f_stop_max","lens_type","f_stop_min","lens_mount","dp_review_link","focal_length","dp_lens_detail_link","year_released","lens_brand","msrp","msrp__002","lens_name"
"F2.8","Zoom lens","F22","Canon EF, Nikon F (FX)","null","16–28 ","https://www.dpreview.com/products/tokina/lenses/tokina_16-28_2p8","","Tokina","568.99","","Tokina AT-X 16-28mm f/2.8 Pro FX"
"F2","Zoom lens","F22","Canon EF, Nikon F (DX)","null","14–20 ","https://www.dpreview.com/products/tokina/lenses/tokina_14-20_f2_pro_dx","Dec 28, 2015","Tokina","589.00","","Tokina AT-X 14-20mm F2 Pro DX"
"F4","Zoom lens","F22","Canon EF-S, Nikon F (DX)","null","12–28 ","https://www.dpreview.com/products/tokina/lenses/tokina_12-28_4","Mar 27, 2013","Tokina","342.49 ","399.00","Tokina AT-X 12-28mm f/4 Pro DX"
"F2.8","Zoom lens","F22","Canon EF-S, Nikon F (DX)","null","16–50 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_16-50_2p8","","Tokina","569.99 ","938.98","Tokina AF-X Pro 16-50mm f/2.8 DX"
"F4","Zoom lens","F22","Canon EF, Nikon F (FX)","null","17–35 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_17-35_4","Sep 12, 2011","Tokina","409.00","","Tokina AT-X 17-35mm f/4 Pro FX"
"F3.5","Prime lens","F32","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","180 ","https://www.dpreview.com/products/tamron/lenses/tamron_180_3p5_di","","Tamron","739.00","","Tamron SP AF 180mm F/3.5 Di LD (IF) Macro"
"F5–6.3","Zoom lens","F32","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","200–500 ","https://www.dpreview.com/products/tamron/lenses/tamron_200-500_5-6p3_di","","Tamron","1,399.00","","Tamron SP AF 200-500mm F/5-6.3 Di LD (IF)"
"F3.5–4.5","Zoom lens","F22","Canon EF-S, Nikon F (DX)","null","10–17 ","https://www.dpreview.com/products/tokina/lenses/tokina_atx_10-17_3p5-4p5_fe","Jun 12, 2011","Tokina","528.29 ","805.31","Tokina AT-X 10-17mm f/3.5-4.5 DX Fish-eye"
"F2.8","Zoom lens","F32","Canon EF, Nikon F (FX), Pentax KAF, Sony/Minolta Alpha","https://www.dpreview.com/reviews/tamron-70-200-2p8-c16","70–200 ","https://www.dpreview.com/products/tamron/lenses/tamron_70-200_2p8","","Tamron","578.00 ","847.00","Tamron SP AF 70-200mm F/2.8 Di LD (IF) MACRO"
"F2.8","Zoom lens","F32","Canon EF-S, Nikon F (DX), Pentax KAF, Sony/Minolta Alpha","null","17–50 ","https://www.dpreview.com/products/tamron/lenses/tamron_17-50_2p8_di-ii","","Tamron","299.00","","Tamron SP AF 17-50mm F/2.8 XR Di II LD Aspherical (IF)"
"F2.8–4","Zoom lens","F22","Canon EF, Nikon F (FX)","null","17–35 ","https://www.dpreview.com/products/tamron/lenses/tamron_17-35_2p8-4_di","","Tamron","","","Tamron SP AF 17-35mm F/2.8-4 Di LD Aspherical (IF)"
"F2.8","Zoom lens","F32","Canon EF-S, Nikon F (DX)","null","17–50 ","https://www.dpreview.com/products/tamron/lenses/tamron_17-50_2p8_di-ii_vc","","Tamron","326.80","","Tamron SP AF 17-50mm F/2.8 XR Di II VC LD Aspherical (IF)"
"F2.8","Prime lens","F32","Canon EF, Nikon F (FX), Pentax KAF, Sony/Minolta Alpha","null","90 ","https://www.dpreview.com/products/tamron/lenses/tamron_90_2p8_di","","Tamron","275.06 ","499.00","Tamron SP AF 90mm F/2.8 Di Macro"
"F2","Prime lens","F22","Canon EF-S, Nikon F (DX), Sony/Minolta Alpha","null","60 ","https://www.dpreview.com/products/tamron/lenses/tamron_60_2_macro","Mar 24, 2009","Tamron","499.00 ","524.00","Tamron SP AF 60mm F/2 Di II LD IF Macro"
"F3.5–4.5","Zoom lens","F22–29","Canon EF-S, Nikon F (DX), Pentax KAF, Sony/Minolta Alpha","https://www.dpreview.com/reviews/tamron-10-24-3p5-5p6-n15","10–24 ","https://www.dpreview.com/products/tamron/lenses/tamron_10-24_3p5-4p5","","Tamron","429.00 ","499.00","Tamron SP AF 10-24mm F/3.5-4.5 Di II LD Aspherical (IF)"
"F5–6.3","Zoom lens","F32–40","Canon EF, Nikon F (FX), Sony/Minolta Alpha","null","150–600 ","https://www.dpreview.com/products/tamron/lenses/tamron_sp_150-600_5-6p3_vc_g2","","Tamron","","","Tamron SP 150-600mm F5-6.3 Di VC USD G2"
"F4.5–5.6","Zoom lens","F32","Canon EF-S, Nikon F (DX)","null","11–18 ","https://www.dpreview.com/products/tamron/lenses/tamron_11-18_4p5-5p6_di-ii","","Tamron","","","Tamron SP AF 11-18mm F/4.5-5.6 Di II LD Aspherical (IF)"
